year,salary,award
2002,60182.783615316118,0
2003,62015.69654676259,0
2004,61942.348882620959,0
2005,61942.348882620959,12352
2006,70243.065004324013,33691
2007,72148.680703277621,42796
2008,73078.770459081836,52676
2009,73426.899803238989,68189
2010,79108.623966942149,60134
2011,81228.752091800143,85194
2012,81140.937324901945,55284
2013,80092.439922792344,74143
2014,85517.096585365854,52698
2015,86442.200064982536,46811
2016,88488.464542980631,42768
2017,88608.235255677177,29380
