106068,White
50538,White
53136,White
61566,White
66924,White
68262,White
68262,White
68262,White
73164,White
74628,White
78012,White
78012,White
82788,White
83616,White
94524,White
75996,White
87198,White
151896,White
154932,White
154932,White
154932,White
154932,White
162684,White
78450,White
80022,White
80022,White
80022,White
91446,White
104742,White
62214,White
63456,White
63456,White
70062,White
74946,White
76446,White
76446,White
76446,White
81924,White
86508,White
87372,White
87372,White
92718,White
93648,White
99978,White
62742,Black
62742,Black
69270,Black
74328,Black
75816,Black
82008,Black
87888,Black
92268,Black
93192,Black
93192,Black
98898,Black
99888,Black
74946,White
74946,White
82746,White
85644,White
87354,White
62214,White
70488,White
70488,White
80544,White
84876,White
84876,White
84876,White
90960,White
92778,White
111078,White
62742,Black
47808,White
50538,White
58668,White
63720,White
141888,White
100980,White
61512,Black
121464,White
68262,White
68262,White
68262,White
73164,White
74628,White
78012,White
78012,White
82788,White
83616,White
86142,White
90024,White
71790,White
76266,White
66552,White
67884,White
75102,White
88578,White
90348,White
90348,White
90348,White
96828,White
101958,White
102978,White
102978,White
109278,White
65292,White
69684,White
75510,White
80016,White
53136,Black
55764,Black
64662,Black
66924,Black
68262,Black
68262,Black
68262,Black
75726,Black
77238,Black
78012,Black
78012,Black
82788,Black
86520,Black
89130,Black
90024,Black
75996,White
77514,White
77514,White
77514,White
88578,White
93276,White
93276,White
93276,White
99960,White
101958,White
52788,White
57744,White
61932,White
64992,White
68262,White
73164,White
74628,White
75372,White
75372,White
82788,White
83616,White
86142,White
87006,White
66552,Black
67884,Black
67884,Black
82008,Black
62742,White
62742,White
69270,White
74328,White
75816,White
75816,White
75816,White
36984,White
81252,White
85278,White
86130,White
86130,White
91404,White
92316,White
95106,White
96060,White
60600,White
60600,White
66906,White
69270,White
73116,White
73116,White
73116,White
78360,White
79926,White
83706,White
83706,White
88830,White
89718,White
92430,White
93354,White
73476,White
74946,White
74946,White
81126,White
60600,Black
75102,Black
85818,Black
87534,Black
87534,Black
87534,Black
96828,Black
98766,Black
99756,Black
99756,Black
105864,Black
110370,Black
111474,Black
58572,White
60600,White
66906,White
69270,White
70656,White
70656,White
69264,White
69264,White
76476,White
79152,White
80736,White
80736,White
73632,White
75102,White
75102,White
75102,White
85818,White
90348,White
90348,White
90348,White
